"DyadResponse","IDIndividual1","IntruderID","Behavior_Not_approaching","Behavior_Losing_interest"
"Not approaching","Oort","No Intrusion","Oort","Other Behavior"
"Not approaching","Oort","No Intrusion","Oort","Other Behavior"
"Not approaching","Kom","No Intrusion","Kom","Other Behavior"
"Not approaching","Kom","No Intrusion","Kom","Other Behavior"
"Not approaching","Kom","No Intrusion","Kom","Other Behavior"
"Not approaching","No individual","No Intrusion","No individual","Other Behavior"
"Not approaching","Kom","No Intrusion","Kom","Other Behavior"
"Not approaching","Oort; Kom","No Intrusion","Oort; Kom","Other Behavior"
"Not approaching","Oort","No Intrusion","Oort","Other Behavior"
"Not approaching","Kom","No Intrusion","Kom","Other Behavior"
"Not approaching","Kom","No Intrusion","Kom","Other Behavior"
"Not approaching","Kom","No Intrusion","Kom","Other Behavior"
"Not approaching","Oort","No Intrusion","Oort","Other Behavior"
"Not approaching","Kom","No Intrusion","Kom","Other Behavior"
"Not approaching","Oort","No Intrusion","Oort","Other Behavior"
"Not approaching","Xin","No Intrusion","Xin","Other Behavior"
"Not approaching","Xin","No Intrusion","Xin","Other Behavior"
"Not approaching","Nge","Sey","Nge","Other Behavior"
"Not approaching","Oerw","No Intrusion","Oerw","Other Behavior"
"Not approaching","Oerw","No Intrusion","Oerw","Other Behavior"
"Not approaching","Oerw","No Intrusion","Oerw","Other Behavior"
"Not approaching","Oerw","No Intrusion","Oerw","Other Behavior"
"Not approaching","Oerw","No Intrusion","Oerw","Other Behavior"
"Not approaching","Oerw","No Intrusion","Oerw","Other Behavior"
"Not approaching","Oerw","No Intrusion","Oerw","Other Behavior"
"Losing interest","Nge","No Intrusion","Other Behavior","Nge"
"Not approaching","Oerw","No Intrusion","Oerw","Other Behavior"
"Not approaching","Nge","No Intrusion","Nge","Other Behavior"
"Not approaching","Oerw","No Intrusion","Oerw","Other Behavior"
"Losing interest","Nge","No Intrusion","Other Behavior","Nge"
"Not approaching","Oerw","No Intrusion","Oerw","Other Behavior"
"Not approaching","Oerw","No Intrusion","Oerw","Other Behavior"
"Not approaching","Sirk","No Intrusion","Sirk","Other Behavior"
"Not approaching","Nge","No Intrusion","Nge","Other Behavior"
"Not approaching","Oerw","No Intrusion","Oerw","Other Behavior"
"Not approaching","Oerw","No Intrusion","Oerw","Other Behavior"
"Not approaching","Oerw","No Intrusion","Oerw","Other Behavior"
"Not approaching","Oerw","No Intrusion","Oerw","Other Behavior"
"Losing interest","Nge","No Intrusion","Other Behavior","Nge"
"Not approaching","Nge","No Intrusion","Nge","Other Behavior"
"Not approaching","Oerw","No Intrusion","Oerw","Other Behavior"
"Not approaching","Oerw","No Intrusion","Oerw","Other Behavior"
"Not approaching","Oerw","No Intrusion","Oerw","Other Behavior"
"Not approaching","Oerw","No Intrusion","Oerw","Other Behavior"
"Not approaching","Oerw","No Intrusion","Oerw","Other Behavior"
"Not approaching","Oerw","No Intrusion","Oerw","Other Behavior"
"Not approaching","Oerw","No Intrusion","Oerw","Other Behavior"
